s_m,x_m,y_m,psi_rad,vx_mps
62.188541336734815,-9.012486363838653,5.8829050310717665,-0.9781557074773028,1.9395024574477167
62.22020621533783,-9.012352220308706,5.8828006930297905,-0.9189774159135418,1.9442642389279032
62.25207735451122,-9.012211514057304,5.882703429766939,-0.862661637256272,1.9496757825838704
62.28422674924673,-9.0120645659604,5.882612998756313,-0.809397430463284,1.955747332247942
62.31671281371495,-9.01191169689396,5.882529157471016,-0.7592832574692773,1.9624842877174233
62.3495810850219,-9.01175322773394,5.882451663384146,-0.7123408400544725,1.969885642620499
62.38286509382034,-9.011589479356301,5.882380273968809,-0.668530569060712,1.9779434038445738
62.416587327889914,-9.011420772637,5.882314746698103,-0.6277666389036074,1.9866429486979855
62.450760229172,-9.011247428452002,5.882254839045133,-0.5899307295547024,1.9959641504006147
62.485387179828834,-9.011069767677263,5.8822003084829975,-0.5548836322167884,2.005883021414252
62.520463446666476,-9.010888111188743,5.8821509124848,-0.5224746449444893,2.0163735908412352
62.55597706471998,-9.010702779862404,5.882106408523642,-0.4925488427528868,2.0274097401513926
62.59190964968084,-9.010514094574203,5.882066554072625,-0.46495247821507196,2.038966759229387
62.62823713532306,-9.010322376200103,5.882031106604851,-0.4395368287464361,2.051022440565684
62.66493043653322,-9.01012794561606,5.8819998235934206,-0.41616080921014703,2.063557595461092
62.70195604140795,-9.009931123698037,5.881972462511436,-0.3946926392746154,2.076555949001282
62.739276537559256,-9.00973223132199,5.8819487808319995,-0.3750108120433624,2.090003449396183
62.77685107860797,-9.009531589363885,5.881928536028211,-0.35700456488926796,2.1038871102143593
62.81463579712361,-9.009329518699674,5.881911485573175,-0.34057401116169084,2.1181935842665833
62.85258417018636,-9.009126340205324,5.881897386939991,-0.32563005520680954,2.1329077325771815
62.89064734345325,-9.008922374756791,5.881885997601761,-0.31209418370011827,2.148011483823532
62.92877441920735,-9.008717943230035,5.8818770750315865,-0.29989820334390666,2.1634832625782385
62.966912713426346,-9.008513366501017,5.88187037670257,-0.2889839777756682,2.179298190038901
63.00500798647028,-9.008308965445694,5.881865660087813,-0.2792997251543947,2.195429133430944
63.0430046515882,-9.008105060940029,5.881862682660416,-0.2707489282278987,2.2118485201342404
63.0808459650987,-9.007901973859981,5.881861201893482,-0.26315672933597806,2.228530672619361
63.11847655134173,-9.00770001246271,5.881860983462004,-0.256320168383908,2.245454297878257
63.155875226213674,-9.007499297764777,5.881861914742505,-0.2500441832389006,2.262604712212201
63.193047350238196,-9.007299807445357,5.881863976277089,-0.2441395418841082,2.279975415501397
63.22999892893084,-9.007101515542445,5.881867150974527,-0.23842412253986103,2.29756874405233
63.26673593382093,-9.006904396094045,5.881871421743593,-0.2327714820429446,2.31539550256279
63.30326430146801,-9.006708423138154,5.88187677149306,-0.2271443280457652,2.3334736642067897
63.33958993250643,-9.006513570712771,5.8818831831316984,-0.22154468337868058,2.3518263901559084
63.37571869072124,-9.006319812855896,5.881890639568282,-0.2159755686390189,2.3704797211120963
63.41165640215838,-9.006127123605529,5.881899123711584,-0.2104400282012648,2.3894603156466756
63.44740885427197,-9.005935476999667,5.8819086184703755,-0.20494112598449854,2.4087935560258917
63.4829817951118,-9.005744847076313,5.881919106753429,-0.19948194111261894,2.428502232487504
63.51838093255362,-9.005555207873462,5.8819305714695185,-0.19406556348098639,2.448605882969921
63.55361193357528,-9.005366533429116,5.881942995527415,-0.1886950892436829,2.4691207396082873
63.58868042358118,-9.005178797781273,5.881956361835892,-0.18337361623606152,2.4900601409888177
63.623591985777615,-9.004991974967933,5.88197065330372,-0.17810423934766584,2.5114352228589505
63.658352160601744,-9.004806039027095,5.881985852839675,-0.17289004586082313,2.5332556992183854
63.692966445206125,-9.004620963996757,5.882001943352527,-0.1677341107704538,2.5555305796187433
63.72744029300134,-9.004436723914921,5.882018907751048,-0.16263949210068088,2.57826872132156
63.76177911325863,-9.004253292819584,5.882036728944012,-0.1576092262337729,2.6014791709500815
63.795988270774465,-9.004070644748746,5.882055389840191,-0.1526463232668495,2.6251712972714123
63.830073085598634,-9.003888753740407,5.882074873348357,-0.14775376241152738,2.649354748460947
63.86403883282774,-9.003707593832564,5.882095162377284,-0.14293448745133971,2.674039282285168
63.897890742465066,-9.00352713906322,5.882116239835742,-0.13819140227132332,2.699234518953964
63.93163399934824,-9.00334736347037,5.882138088632506,-0.1335273664736672,2.7249496586755377
63.96527374314561,-9.003168241092016,5.882160691676347,-0.12894519109269661,2.751193194062732
63.998815068422005,-9.002989745966156,5.882184031876038,-0.12444763442177523,2.777972635192998
64.03226302477458,-9.00281185213079,5.882208092140352,-0.12003739796398212,2.805294254442146
64.06562261703904,-9.002634533623917,5.88223285537806,-0.11571712251758934,2.8331628500265738
64.09889880556634,-9.002457764483538,5.882258304497936,-0.11148938440651636,2.8615815218185787
64.13209650656982,-9.002281518747647,5.882284422408752,-0.10735669186503723,2.890551450451225
64.16522059254262,-9.00210577045425,5.882311192019279,-0.10332148158506546,2.920071671543904
64.19827589274468,-9.001930493641341,5.882338596238292,-0.09938611543340833,2.9501388414192933
64.23126719375874,-9.001755662346923,5.882366617974562,-0.09555287734539217,2.980746999266951
64.26419924011459,-9.001581250608991,5.882395240136863,-0.09182397040029305,3.011887343341886
64.29707673498022,-9.00140723246555,5.882424445633966,-0.08820151408303588,3.043548054650177
64.32990434091876,-9.001233581954594,5.882454217374643,-0.0846875417356672,3.0757142185415156
64.36268668070973,-9.001060273114124,5.882484538267667,-0.08128399820117581,3.1083679085004623
64.39542833823303,-9.000887279982141,5.882515391221811,-0.07799273766131477,3.1414885007650115
64.42813385941373,-9.000714576596643,5.882546759145848,-0.07481552166922423,3.1750532755869876
64.46080775322575,-9.000542136995627,5.882578624948549,-0.07175401737681306,3.209038324684178
64.49345449275242,-9.000369935217096,5.882610971538688,-0.06880979595606955,3.2434197229467303
64.5260785163016,-9.000197945299046,5.882643781825037,-0.06598433121275075,3.2781748416475116
64.55868422857284,-9.00002614127948,5.882677038716368,-0.0632789983902149,3.3132835949843233
64.5912760018744,-8.999854497196393,5.882710725121454,-0.06069507316053739,3.3487293446149273
64.62385817738718,-8.99968298708779,5.882744823949066,-0.05823373079949136,3.384499164583078
64.65643506647298,-8.999511584991662,5.882779318107979,-0.05589604554148029,3.4205832144658452
