# 2025-04-25 03:55:41
# b31424b7fbb00b981aa6a1f5d45f886e
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2; w_tr_right_m; w_tr_left_m
1.439999999999999947e+00;1.400461629868169577e+00;1.602025884860636407e-01;7.964849554796282760e-02;1.877233719509763255e-02;4.999999999995457856e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
1.530000000000000027e+00;1.490167961920427331e+00;1.674669960489558740e-01;8.132492568978433312e-02;1.847909276150999647e-02;4.999999999987102761e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
1.619999999999999885e+00;1.579862234746002514e+00;1.748788468971011201e-01;8.297473224503448819e-02;1.817646257910959795e-02;4.999999999965702990e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
1.709999999999999964e+00;1.669543996964607979e+00;1.824405681047938654e-01;8.459668895402394639e-02;1.787121122779328219e-02;4.999999999911275417e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
1.799999999999999822e+00;1.759213695798786281e+00;1.901440058827992552e-01;8.619155026603753100e-02;1.756856830913761103e-02;4.999999999782946070e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
1.889999999999999902e+00;1.848871316222991723e+00;1.979867986594006091e-01;8.775903124966877300e-02;1.725604903130623091e-02;4.999999999495126524e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
1.979999999999999982e+00;1.938516331177661867e+00;2.059723901056554340e-01;8.929763909167265368e-02;1.694026182530922187e-02;4.999999998845930271e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
2.069999999999999840e+00;2.028149270313496455e+00;2.140923833250742425e-01;9.080827837822447179e-02;1.662822549937803540e-02;4.999999997469291912e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
2.160000000000000142e+00;2.117770170432412780e+00;2.223442097796321237e-01;9.229071968156077332e-02;1.630789279381028578e-02;4.999999994661640024e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
2.250000000000000000e+00;2.207378646208634443e+00;2.307298883818466040e-01;9.374369908111024330e-02;1.598342248978912306e-02;4.999999988940088791e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
2.339999999999999858e+00;2.296975076550393347e+00;2.392432880774074955e-01;9.516773572972248019e-02;1.566195066610065467e-02;4.999999977741546253e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
2.429999999999999716e+00;2.386559629445958119e+00;2.478807857410749160e-01;9.656285020100829897e-02;1.533503441420847047e-02;4.999999956571269166e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
2.520000000000000018e+00;2.476132068397622010e+00;2.566430274790048038e-01;9.792804192428006260e-02;1.500293892312287714e-02;4.999999916799964694e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
2.609999999999999876e+00;2.565692605065744036e+00;2.655260910957833453e-01;9.926337920717021035e-02;1.467291664719772015e-02;4.999999843816696377e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
2.699999999999999734e+00;2.655241542932835763e+00;2.745253323169472015e-01;1.005691669207759986e-01;1.434061863207736209e-02;4.999999714174610865e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
2.790000000000000036e+00;2.744778793534063510e+00;2.836401345653739026e-01;1.018446905609442510e-01;1.400198619310011328e-02;4.999999486364457901e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
