# 2025-05-05 20:54:53
# 65a379ab274562b0a51ef68ec8f82942
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2; w_tr_right_m; w_tr_left_m
2.339999999999999858e+00;2.415448412516819854e+00;5.389293736035778437e-01;6.927373484686061289e-02;1.307199682892207226e-02;6.999999943304839434e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
2.429999999999999716e+00;2.505227566280002538e+00;5.452303671095937165e-01;7.042460456385368772e-02;1.249464719527582091e-02;6.999999892425538661e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
2.520000000000000018e+00;2.594999549121355553e+00;5.516327307264129454e-01;7.152277134201057152e-02;1.191134713561708969e-02;6.999999799333307848e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
2.609999999999999876e+00;2.684764659157061750e+00;5.581307408340587806e-01;7.256864704826471169e-02;1.133512684925191971e-02;6.999999632661728199e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
2.699999999999999734e+00;2.774523253619507912e+00;5.647181480587194491e-01;7.356309417487594260e-02;1.075701478112583986e-02;6.999999343433294108e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
2.790000000000000036e+00;2.864275443993692161e+00;5.713922553801239479e-01;7.450490970886747277e-02;1.017165804291775277e-02;6.999998845023229777e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
2.879999999999999893e+00;2.954021503323785769e+00;5.781483053199397704e-01;7.539399262260104706e-02;9.592096086259160881e-03;6.999997997506945069e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
2.969999999999999751e+00;3.043761847841760293e+00;5.849798497227527427e-01;7.623148700439408287e-02;9.013824007193915744e-03;6.999996597816457999e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
3.060000000000000053e+00;3.133496673708428659e+00;5.918835155511041890e-01;7.701648094389579313e-02;8.426933574252282177e-03;6.999994306659586663e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
3.149999999999999911e+00;3.223226236220598118e+00;5.988552586775477415e-01;7.774833504775946480e-02;7.844474160358994030e-03;6.999990581068706419e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
3.239999999999999769e+00;3.312950994586417508e+00;6.058885622082348377e-01;7.842848629276044647e-02;7.266582740302340859e-03;6.999984689859314102e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
3.330000000000000071e+00;3.402671215129929649e+00;6.129795252129397465e-01;7.905631994101369742e-02;6.678650211596248720e-03;6.999975472824480072e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
3.419999999999999929e+00;3.492387147809977055e+00;6.201245361960934233e-01;7.963064333084801660e-02;6.093736891537970823e-03;6.999961070403625030e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
3.509999999999999787e+00;3.582099276464357995e+00;6.273171538707221773e-01;8.015319258149089521e-02;5.516710863595841730e-03;6.999939167025208242e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
3.599999999999999645e+00;3.671807920771516187e+00;6.345531049209396368e-01;8.062365128629522815e-02;4.928201454913960777e-03;6.999906257702793511e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
3.689999999999999947e+00;3.761513341486392825e+00;6.418289123954847852e-01;8.104026884337534042e-02;4.341281203653346576e-03;6.999856659938669345e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
3.779999999999999805e+00;3.851216027115512919e+00;6.491383640350467665e-01;8.140508190295259183e-02;3.765555372326701011e-03;6.999783865259727733e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
3.869999999999999662e+00;3.940916332391535715e+00;6.564769721537244695e-01;8.171806881039422876e-02;3.176913157799221565e-03;6.999678439534978480e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
3.959999999999999964e+00;4.030614547212577392e+00;6.638410888968223622e-01;8.197692627135655385e-02;2.588440759971333271e-03;6.999524769354074749e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
4.049999999999999822e+00;4.120311143964131340e+00;6.712248885880892635e-01;8.218398814718907985e-02;2.012998985217728798e-03;6.999306531460071312e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
4.139999999999999680e+00;4.210006489222948289e+00;6.786238765820699070e-01;8.233926608869568398e-02;1.426059410589708421e-03;6.999000409964977187e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
4.229999999999999538e+00;4.299700933762650834e+00;6.860337762439548959e-01;8.244067884109496092e-02;8.379092109373487141e-04;6.998569405401346977e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
4.320000000000000284e+00;4.389394900290967350e+00;6.934494600965466216e-01;8.249008974666427463e-02;2.616513880927540114e-04;6.997975203189890081e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
4.410000000000000142e+00;4.479088763961662778e+00;7.008663880101777544e-01;8.248777609095192531e-02;-3.231212318296483588e-04;6.997166499048622867e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
4.500000000000000000e+00;4.568782920651682566e+00;7.082797713489883407e-01;8.243192792493525545e-02;-9.104184805872606034e-04;6.996064713613756147e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
4.589999999999999858e+00;4.658477757183609569e+00;7.156849241310055953e-01;8.232390076444584537e-02;-1.487123308030136037e-03;6.994588549746543649e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
4.679999999999999716e+00;4.748173639341707108e+00;7.230774001478960100e-01;8.216424572948977101e-02;-2.069409368528896120e-03;6.992637225626761932e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
4.769999999999999574e+00;4.837870990284267592e+00;7.304520322535934529e-01;8.195140707811088276e-02;-2.655440613060611188e-03;6.990060994549493145e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
4.859999999999999432e+00;4.927570175885286119e+00;7.378043134913646606e-01;8.168626641913867559e-02;-3.232084534767143413e-03;6.986705055757568950e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
4.950000000000000178e+00;5.017271534832699054e+00;7.451300297238125925e-01;8.136963186185264263e-02;-3.811588399927900994e-03;6.982393762874962384e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
5.040000000000000036e+00;5.106975500825351233e+00;7.524237519025044341e-01;8.100018050715185325e-02;-4.395937955365580851e-03;6.976872455982193522e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
5.129999999999999893e+00;5.196682431039249650e+00;7.596809220282674247e-01;8.057836302988707899e-02;-4.971984053500355660e-03;6.969878484311040623e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
5.219999999999999751e+00;5.286392621116586810e+00;7.668976808126778399e-01;8.010522337752146171e-02;-5.548428381192072045e-03;6.961143666386488960e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
5.309999999999999609e+00;5.376106500284893563e+00;7.740684326164599671e-01;7.957964592127231285e-02;-6.130672563373851247e-03;6.950285184973393093e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
5.399999999999999467e+00;5.465824425320474411e+00;7.811883797413077257e-01;7.900170231611447491e-02;-6.705549938445964919e-03;6.936910528919886687e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
5.490000000000000213e+00;5.555546635328213689e+00;7.882541207540249006e-01;7.837264693235201918e-02;-7.278670256708252850e-03;6.920669206826993047e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
5.580000000000000071e+00;5.645273542314134474e+00;7.952599629293676253e-01;7.769154166990688282e-02;-7.858372188416895554e-03;6.901060811296023445e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
5.669999999999999929e+00;5.735005505958516103e+00;8.022007308075717047e-01;7.695813993843714229e-02;-8.431471091405462470e-03;6.877579017359034985e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
5.759999999999999787e+00;5.824742698370061866e+00;8.090735595621035836e-01;7.617387687345411607e-02;-9.001010651639163029e-03;6.849850639469400981e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
5.849999999999999645e+00;5.914485504234491486e+00;8.158726984186062126e-01;7.533795802114218176e-02;-9.577715304745992864e-03;6.817324617272626952e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
5.939999999999999503e+00;6.004234283684539264e+00;8.225925161533731433e-01;7.444988811859953870e-02;-1.014838247683685912e-02;6.779459620754199278e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
