# 2025-05-05 20:53:47
# 200b3284d5890f09b2bd52dbd4eb2559
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2; w_tr_right_m; w_tr_left_m
1.080000000000000071e+00;4.513573687319774486e+00;-1.057581015905980593e+01;1.450164942260555812e+00;5.875162615865292537e-03;4.499999122494481085e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
1.169999999999999929e+00;4.524371867548508064e+00;-1.048646029018890147e+01;1.450707669685756152e+00;6.194448320433920685e-03;4.499999905706877357e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
1.260000000000000009e+00;4.535118454960185730e+00;-1.039710420136869651e+01;1.451279942958233704e+00;6.515348531836551160e-03;4.499999992316043418e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
1.349999999999999867e+00;4.545813172270307234e+00;-1.030774188986110396e+01;1.451880432421487122e+00;6.834081358611854284e-03;4.499999999728043321e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
1.439999999999999947e+00;4.556451671018767691e+00;-1.021837286817168078e+01;1.452510077602784833e+00;7.154423094624107193e-03;4.499999999997552180e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
1.530000000000000027e+00;4.567032581366524013e+00;-1.012899701033652100e+01;1.453168228578519461e+00;7.472749345614815297e-03;4.500000000000001776e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
1.619999999999999885e+00;4.577552745394251055e+00;-1.003961398184257270e+01;1.453855172484995073e+00;7.792685464536930340e-03;4.500000000000001776e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
1.709999999999999964e+00;4.588009516235445950e+00;-9.950223515327406787e+00;1.454570911962136393e+00;8.110748176951787514e-03;4.500000000000001776e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
1.799999999999999822e+00;4.598401103949336211e+00;-9.860825447797216370e+00;1.455315107156845755e+00;8.430427974296605953e-03;4.500000000000001776e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
1.889999999999999902e+00;4.608723408936706178e+00;-9.771419354507619559e+00;1.456088388997509142e+00;8.748366914604233102e-03;4.500000000000001776e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
1.979999999999999982e+00;4.618976178735517024e+00;-9.682005260402984703e+00;1.456889813201474482e+00;9.067936135053855651e-03;4.500000000000001776e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
2.069999999999999840e+00;4.629153692544862864e+00;-9.592582569459011665e+00;1.457720617501818694e+00;9.385887783183832767e-03;4.500000000000001776e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
2.160000000000000142e+00;4.639257398458705772e+00;-9.503151508962440985e+00;1.458579273002447607e+00;9.705488621090552215e-03;4.500000000000001776e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
2.250000000000000000e+00;4.649279791746681489e+00;-9.413711299699695445e+00;1.459467605453615313e+00;1.002437634274144784e-02;4.500000000000001776e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
2.339999999999999858e+00;4.659223764398757517e+00;-9.324262337869681616e+00;1.460383660744141388e+00;1.034335723443646771e-02;4.500000000000001776e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
2.429999999999999716e+00;4.669081113688605456e+00;-9.234803788808241265e+00;1.461329409755813380e+00;1.066324527291229174e-02;4.500000000000001776e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
2.520000000000000018e+00;4.678854633127352614e+00;-9.145336042901423212e+00;1.462303044893266346e+00;1.098180684684813002e-02;4.500000000000001776e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
2.609999999999999876e+00;4.688537039081701607e+00;-9.055858390657276047e+00;1.463306134988246576e+00;1.130206616340245773e-02;4.500000000000001776e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
2.699999999999999734e+00;4.698129745259966406e+00;-8.966371078132072014e+00;1.464337416802678149e+00;1.162109531767718806e-02;4.500000000000001776e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
2.790000000000000036e+00;4.707626913572117822e+00;-8.876873575769536728e+00;1.465397932145428683e+00;1.194185552314586118e-02;4.500000000000001776e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
2.879999999999999893e+00;4.717028425712342710e+00;-8.787365975188388134e+00;1.466486950796844546e+00;1.226147338790539720e-02;4.500000000000001776e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
2.969999999999999751e+00;4.726330039385990389e+00;-8.697847937808834473e+00;1.467604997355251406e+00;1.258286040080847101e-02;4.500000000000001776e+00;0.000000000000000000e+00;7.500000000000000000e-01;7.500000000000000000e-01
