# 2025-04-25 01:59:50
# 4b769253f54cd2fd163ac537443b4a50
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2; w_tr_right_m; w_tr_left_m
2.023892351623690633e+00;1.982231386541925211e+00;2.099135009472770097e-01;9.003836454350719332e-02;0.000000000000000000e+00;4.999999998315763250e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
2.057411483035213262e+00;2.015613026182464296e+00;2.129463717806786283e-01;9.059915450232583489e-02;0.000000000000000000e+00;4.999999997748906466e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
2.090927163306746106e+00;2.048989535208654456e+00;2.159975140730463483e-01;9.115592612056837296e-02;0.000000000000000000e+00;4.999999997004459296e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
2.124439558604141354e+00;2.082361081453681706e+00;2.190668038581417842e-01;9.170867004170699111e-02;0.000000000000000000e+00;4.999999996030791927e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
2.157948834866143084e+00;2.115727832750732951e+00;2.221541171697268557e-01;9.225737703286315816e-02;0.000000000000000000e+00;4.999999994762399425e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
2.191455157805728859e+00;2.149089956932990653e+00;2.252593300415630384e-01;9.280203798505971824e-02;0.000000000000000000e+00;4.999999993116471586e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
2.224958692911474412e+00;2.182447621833641271e+00;2.283823185074121409e-01;9.334264391346637491e-02;0.000000000000000000e+00;4.999999990988676757e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
2.258459605448918772e+00;2.215800995285869934e+00;2.315229586010358886e-01;9.387918595763473928e-02;0.000000000000000000e+00;4.999999988248022831e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
2.291958060461948499e+00;2.249150245122863989e+00;2.346811263561960903e-01;9.441165538172338612e-02;0.000000000000000000e+00;4.999999984730578717e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
2.325454222774181900e+00;2.282495539177805455e+00;2.378566978066543047e-01;9.494004357471670652e-02;0.000000000000000000e+00;4.999999980231846664e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
2.358948256990383019e+00;2.315837045283881235e+00;2.410495489861723128e-01;9.546434205063410172e-02;0.000000000000000000e+00;4.999999974497521649e+00;0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
